state_id,age_range_id,gender_id,Population,Deaths,Probability
8,9,1,486199,1078,0.002217199
8,9,2,505359,624,0.001234766
8,10,1,513010,1651,0.003218261
8,10,2,541942,1065,0.001965155
8,11,1,516430,2444,0.00473249
8,11,2,549608,1520,0.002765607
8,12,1,488719,3327,0.006807593
8,12,2,529232,2238,0.004228769
8,13,1,430082,4047,0.009409833
8,13,2,478381,2733,0.00571302
8,14,1,366637,4877,0.013301985
8,14,2,414894,3420,0.008243069
8,15,1,305684,5915,0.019350048
8,15,2,348492,4341,0.012456527
8,16,1,237942,6982,0.029343285
8,16,2,280327,5637,0.020108659
8,17,1,174119,8382,0.048139491
8,17,2,223849,7619,0.034036337
8,18,1,113148,8790,0.077685863
8,18,2,166599,9775,0.058673822
51,1,2,64710,662,0.010230258
51,1,1,66905,827,0.01236081
51,4,2,241415,39,0.000161548
51,4,1,243842,69,0.00028297
51,2,2,224790,78,0.000346991
51,2,1,232723,91,0.000391023
51,3,2,248452,44,0.000177097
51,3,1,251357,61,0.000242683
51,5,1,311126,512,0.001645636
51,5,2,343757,97,0.000282176
51,6,1,435416,859,0.001972826
51,6,2,519258,203,0.000390942
51,7,1,494956,814,0.001644591
51,7,2,572736,306,0.000534278
51,8,1,458619,852,0.001857751
51,8,2,485137,429,0.000884286
51,9,2,382658,632,0.001651605
51,9,1,387645,1173,0.003025964
51,10,2,339889,1092,0.003212814
51,10,1,344384,1626,0.004721474
51,11,1,322914,2410,0.007463287
51,11,2,331915,1562,0.004706024
51,12,1,303018,3363,0.011098351
51,12,2,328402,2155,0.006562079
51,13,1,260947,3838,0.014707968
51,13,2,301045,2499,0.008301085
51,14,1,209202,3952,0.018890833
51,14,2,252691,2648,0.010479202
51,15,1,156031,3920,0.025123213
51,15,2,194692,3020,0.01551168
51,16,1,115718,4262,0.036830917
51,16,2,157667,3591,0.02277585
51,17,1,86425,4726,0.054683251
51,17,2,134944,4661,0.034540254
51,18,1,59725,4587,0.076802009
51,18,2,109074,5755,0.052762345
9,1,2,1752916,11254,0.006420159
9,1,1,1830359,14135,0.007722529
9,4,2,9334286,1276,0.0001367
9,4,1,9779185,1910,0.000195313
9,2,2,6941476,2042,0.000294174
9,2,1,7258554,2887,0.000397738
9,3,2,8804980,1061,0.0001205
9,3,1,9214024,1412,0.000153245
9,5,2,9489965,3409,0.000359222
9,5,1,10087475,8467,0.000839358
9,6,2,9675005,5212,0.000538708
9,6,1,10116912,15355,0.001517756
9,7,2,9456272,6392,0.000675953
9,7,1,9702859,15366,0.001583657
9,8,2,9587288,8340,0.000869902
9,8,1,9633378,16707,0.001734283
9,9,1,10192364,21933,0.002151905
9,9,2,10272449,12758,0.001241963
9,10,1,10823117,33163,0.00306409
9,10,2,10990767,20249,0.001842365
9,11,1,10753977,50630,0.004708026
9,11,2,11115334,30548,0.002748275
9,12,1,10113878,71196,0.007039436
9,12,2,10777164,42475,0.003941204
9,13,1,8989053,90419,0.01005879
9,13,2,9944891,54877,0.00551811
9,14,1,7968618,108428,0.013606876
9,14,2,9042032,69011,0.007632245
9,15,1,7135332,130238,0.018252549
9,15,2,8133617,89468,0.01099978
9,16,1,6073312,160728,0.026464637
9,16,2,7052922,120006,0.017015075
9,17,1,4840937,198616,0.041028421
9,17,2,5945890,167087,0.02810126
9,18,1,3346192,223014,0.066647102
9,18,2,4541779,222017,0.048883268
10,1,2,1104306,7948,0.00719728
10,1,1,1153327,10164,0.008812765
10,4,2,5563573,852,0.000153139
10,4,1,5810887,1275,0.000219416
10,2,2,4375954,1274,0.000291137
10,2,1,4558814,1708,0.000374659
10,3,2,5471918,735,0.000134322
10,3,1,5692484,984,0.00017286
10,5,2,5488636,2058,0.000374957
10,5,1,5829294,4981,0.000854477
10,6,2,5542918,2848,0.000513809
10,6,1,5783211,8261,0.001428445
10,7,1,5593912,8439,0.001508604
10,7,2,5600976,3757,0.000670776
10,8,1,5635107,9326,0.001654982
10,8,2,5741276,5038,0.000877505
10,9,1,5763910,12012,0.002084002
10,9,2,5931601,7462,0.001258008
10,10,1,5818685,17834,0.003064954
10,10,2,6024358,11709,0.00194361
10,11,1,5531566,26225,0.004740972
10,11,2,5791564,17211,0.002971736
10,12,1,5057384,36998,0.00731564
10,12,2,5379072,24147,0.004489064
10,13,1,4251208,46792,0.011006754
10,13,2,4631470,29952,0.006467061
